id,type,english,burmese,example_en,example_my,pronunciation,audio_url,category
,word,business,စီးပွားရေး၊ လုပ်ငန်း,He started his own business.,သူ ကိုယ်ပိုင်စီးပွားရေး စတင်ခဲ့တယ်။,/ˈbɪd.nəs/,https://api.dictionaryapi.dev/media/pronunciations/en/business-us.mp3,work-study
,word,information,အချက်အလက်,Can you give me more information?,အချက်အလက်ပိုပေးလို့ရမလား။,/ˌɪnfəˈmeɪʃən/,https://api.dictionaryapi.dev/media/pronunciations/en/information-us.mp3,everyday
,word,open,ဖွင့်,The shop opens at eight.,ဆိုင်ကို ရှစ်နာရီမှာ ဖွင့်တယ်။,/ˈəʊ.pən/,https://api.dictionaryapi.dev/media/pronunciations/en/open-au.mp3,everyday
,word,order,အမိန့်၊ မှာယူ,Can I take your order?,မှာယူချင်တာ ယူပေးရမလား။,/ˈɔːdə/,https://api.dictionaryapi.dev/media/pronunciations/en/order-au.mp3,everyday
,word,government,အစိုးရ,The government built a new road.,အစိုးရက လမ်းသစ်တစ်ခု ဆောက်ခဲ့တယ်။,/ˈɡʌvə(n)mənt/,https://api.dictionaryapi.dev/media/pronunciations/en/government-uk.mp3,everyday
,word,word,စကားလုံး,I don't know this word.,ဒီစကားလုံးကို မသိဘူး။,/wɜːd/,https://api.dictionaryapi.dev/media/pronunciations/en/word-us.mp3,conversation
,word,issue,ကိစ္စ၊ ပြဿနာ,We need to discuss this issue.,ဒီကိစ္စကို ဆွေးနွေးဖို့ လိုတယ်။,/ˈɪsjuː/,https://api.dictionaryapi.dev/media/pronunciations/en/issue-uk.mp3,everyday
,word,market,ဈေး၊ ဈေးကွက်,I bought vegetables at the market.,ဈေးမှာ ဟင်းသီးဟင်းရွက် ဝယ်ခဲ့တယ်။,/ˈmɑːkɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/market-uk.mp3,food-shopping
,word,pay,ပေးချေ,How much do I need to pay?,ဘယ်လောက် ပေးရမလဲ။,/peɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/pay-us.mp3,food-shopping
,word,build,ဆောက်၊ တည်ဆောက်,They are building a new bridge.,သူတို့ တံတားသစ်တစ်စင်း ဆောက်နေကြတယ်။,/bɪld/,https://api.dictionaryapi.dev/media/pronunciations/en/build-uk.mp3,everyday
,word,hold,ကိုင်၊ ကိုင်ထား,Can you hold this bag for me?,ဒီအိတ်ကို ကိုင်ပေးလို့ရမလား။,/həʊld/,https://api.dictionaryapi.dev/media/pronunciations/en/hold-us.mp3,everyday
,word,service,ဝန်ဆောင်မှု,The service at this restaurant is great.,ဒီစားသောက်ဆိုင်ရဲ့ ဝန်ဆောင်မှုက အရမ်းကောင်းတယ်။,/ˈsɜːvɪs/,,everyday
,word,believe,ယုံကြည်,I believe you.,ကျွန်တော် ခင်ဗျားကို ယုံတယ်။,/bɪˈliːv/,https://api.dictionaryapi.dev/media/pronunciations/en/believe-us.mp3,everyday
,word,love,ချစ်,I love this song.,ကျွန်တော် ဒီသီချင်းကို နှစ်သက်တယ်။,/lʊv/,https://api.dictionaryapi.dev/media/pronunciations/en/love-uk.mp3,feelings
,word,increase,တိုး၊ တိုးပွား,Prices will increase next month.,နောက်လမှာ ဈေးနှုန်းတွေ တက်လာမယ်။,,https://api.dictionaryapi.dev/media/pronunciations/en/increase-us.mp3,everyday
,word,job,အလုပ်,She found a new job.,သူ အလုပ်အသစ် ရှာတွေ့ခဲ့တယ်။,/d͡ʒɒb/,https://api.dictionaryapi.dev/media/pronunciations/en/job-uk.mp3,work-study
,word,plan,အစီအစဉ်၊ စီစဉ်,What is your plan for tomorrow?,မနက်ဖန်အတွက် အစီအစဉ်ဘာရှိလဲ။,/plæn/,https://api.dictionaryapi.dev/media/pronunciations/en/plan-us.mp3,everyday
,word,result,ရလဒ်၊ အကျိုးဆက်,I am happy with the result.,ရလဒ်ကို ကျွန်တော် ကျေနပ်တယ်။,/ɹɪˈzʌlt/,https://api.dictionaryapi.dev/media/pronunciations/en/result-us.mp3,everyday
,word,away,ဝေး၊ ခွာ,The beach is two miles away.,ပင်လယ်ကမ်းက မိုင်နှစ်မိုင်ဝေးတယ်။,/əˈweɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/away-1-uk.mp3,everyday
,word,example,ဥပမာ၊ နမူနာ,Can you give me an example?,နမူနာတစ်ခု ပေးလို့ရမလား။,/əɡˈzæmpl̩/,https://api.dictionaryapi.dev/media/pronunciations/en/example-us.mp3,everyday
,word,happen,ဖြစ်ပျက်,What happened at the meeting?,အစည်းအဝေးမှာ ဘာဖြစ်ခဲ့လဲ။,/ˈhæpən/,https://api.dictionaryapi.dev/media/pronunciations/en/happen-us.mp3,everyday
,word,offer,ကမ်းလှမ်း၊ ပေးကမ်း,The store offers a discount today.,ဆိုင်က ဒီနေ့ လျှော့စျေးပေးတယ်။,/ˈɑfɚ/,https://api.dictionaryapi.dev/media/pronunciations/en/offer-us.mp3,everyday
,word,young,ငယ်,She looks very young.,သူက အရမ်း ငယ်ပုံရတယ်။,/jʌŋ/,https://api.dictionaryapi.dev/media/pronunciations/en/young-uk.mp3,people
,word,close,ပိတ်၊ နီး,Please close the door.,တံခါးကို ပိတ်ပေးပါ။,/kləʊz/,https://api.dictionaryapi.dev/media/pronunciations/en/close-1-us.mp3,everyday
,word,program,အစီအစဉ်၊ ပရိုဂရမ်,I watched an interesting program.,စိတ်ဝင်စားစရာကောင်းတဲ့ အစီအစဉ်တစ်ခု ကြည့်ခဲ့တယ်။,/ˈpɹoʊˌɡɹæm/,https://api.dictionaryapi.dev/media/pronunciations/en/program-us.mp3,everyday
,word,lead,ဦးဆောင်,She will lead the team.,သူ အဖွဲ့ကို ဦးဆောင်မယ်။,/lɛd/,https://api.dictionaryapi.dev/media/pronunciations/en/lead-1-us.mp3,everyday
,word,buy,ဝယ်,I want to buy some fruit.,ကျွန်တော် သစ်သီးအနည်းငယ် ဝယ်ချင်တယ်။,/baɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/buy-uk.mp3,food-shopping
,word,understand,နားလည်,Do you understand the lesson?,ဒီသင်ခန်းစာကို နားလည်လား။,/ˌɞndəɹˈstand/,https://api.dictionaryapi.dev/media/pronunciations/en/understand-uk.mp3,everyday
,word,thank,ကျေးဇူးတင်,Thank you for your help.,ကူညီပေးတဲ့အတွက် ကျေးဇူးတင်ပါတယ်။,[θaŋk],https://api.dictionaryapi.dev/media/pronunciations/en/thank-us.mp3,conversation
,word,far,ဝေး,Is the station far from here?,ဘူတာရုံက ဒီကနေ ဝေးလား။,/fɑː/,https://api.dictionaryapi.dev/media/pronunciations/en/far-1-uk.mp3,everyday
,word,today,ဒီနေ့,What are we doing today?,ဒီနေ့ ဘာလုပ်ကြမလဲ။,/təˈdeɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/today-uk.mp3,everyday
,word,hour,နာရီ,The meeting lasted one hour.,အစည်းအဝေးက တစ်နာရီကြာခဲ့တယ်။,/ˈaʊɚ/,https://api.dictionaryapi.dev/media/pronunciations/en/hour-uk.mp3,everyday
,word,student,ကျောင်းသား,She is a hard-working student.,သူက ကြိုးစားတဲ့ ကျောင်းသားတစ်ယောက်ပါ။,/ˈstjuː.dənt/,https://api.dictionaryapi.dev/media/pronunciations/en/student-uk.mp3,work-study
,word,face,မျက်နှာ၊ ရင်ဆိုင်,She has a kind face.,သူ့မှာ ကြင်နာတဲ့ မျက်နှာသွင်ပြင် ရှိတယ်။,/feɪs/,https://api.dictionaryapi.dev/media/pronunciations/en/face-au.mp3,everyday
,word,hope,မျှော်လင့်,I hope you feel better soon.,မကြာခင် ပိုကောင်းလာမယ်လို့ မျှော်လင့်ပါတယ်။,/həʊp/,https://api.dictionaryapi.dev/media/pronunciations/en/hope-us.mp3,feelings
,word,idea,အကြံ၊ စိတ်ကူး,That's a great idea.,ဒါက အကြံကောင်းတစ်ခုပါ။,/ɑeˈdiə̯/,https://api.dictionaryapi.dev/media/pronunciations/en/idea-us.mp3,everyday
,word,cost,ကုန်ကျစရိတ်၊ ကျသင့်,How much does it cost?,ဒါ ဘယ်လောက်ကျလဲ။,/ˈkɑst/,https://api.dictionaryapi.dev/media/pronunciations/en/cost-uk.mp3,food-shopping
,word,room,အခန်း,There is a table in the room.,အခန်းထဲမှာ စားပွဲတစ်လုံး ရှိတယ်။,/ɹuːm/,,everyday
,word,reason,အကြောင်းရင်း,What is the reason for the delay?,နောက်ကျတာရဲ့ အကြောင်းရင်း ဘာလဲ။,/ˈɹiːzən/,https://api.dictionaryapi.dev/media/pronunciations/en/reason-us.mp3,everyday
,word,form,ပုံစံ၊ ဖောင်,Please fill out this form.,ဒီပုံစံကို ဖြည့်ပေးပါ။,/fɔːm/,https://api.dictionaryapi.dev/media/pronunciations/en/form-us.mp3,everyday
,word,spend,သုံး၊ ကုန်ဆုံး,I spend a lot of time reading.,စာဖတ်ရာမှာ အချိန်အများကြီး ဖြုန်းတယ်။,/spɛnd/,https://api.dictionaryapi.dev/media/pronunciations/en/spend-us.mp3,food-shopping
,word,head,ခေါင်း၊ ဦးဆောင်,My head hurts.,ကျွန်တော့် ခေါင်းကိုက်တယ်။,/hɛd/,https://api.dictionaryapi.dev/media/pronunciations/en/head-uk.mp3,everyday
,word,car,ကား,We traveled by car.,ကျွန်တော်တို့ ကားနဲ့ ခရီးသွားခဲ့ကြတယ်။,/kɑː/,https://api.dictionaryapi.dev/media/pronunciations/en/car-uk.mp3,travel
,word,learn,သင်ယူ၊ လေ့လာ,I want to learn how to swim.,ကျွန်တော် ရေကူးတတ်အောင် သင်ချင်တယ်။,/lɜːn/,https://api.dictionaryapi.dev/media/pronunciations/en/learn-us.mp3,work-study
,word,level,အဆင့်,Her English is at an advanced level.,သူ့အင်္ဂလိပ်စာက အဆင့်မြင့်အဆင့်ရှိတယ်။,/ˈlɛv.əl/,https://api.dictionaryapi.dev/media/pronunciations/en/level-uk.mp3,everyday
,word,person,လူ၊ ပုဂ္ဂိုလ်,She is a very kind person.,သူက အရမ်းကြင်နာတဲ့ လူတစ်ယောက်ပါ။,/ˈpɜːsən/,https://api.dictionaryapi.dev/media/pronunciations/en/person-uk.mp3,people
,word,experience,အတွေ့အကြုံ,I had a great experience there.,ဒီနေရာမှာ အတွေ့အကြုံကောင်းတစ်ခု ရခဲ့တယ်။,/ɪkˈspɪə.ɹɪəns/,https://api.dictionaryapi.dev/media/pronunciations/en/experience-uk.mp3,work-study
,word,once,တစ်ကြိမ်၊ တစ်ခါက,I have only been there once.,ကျွန်တော် ဒီကို တစ်ကြိမ်ပဲ သွားဖူးတယ်။,/wɒn(t)s/,https://api.dictionaryapi.dev/media/pronunciations/en/once-us.mp3,everyday
,word,member,အဖွဲ့ဝင်,He is a member of the club.,သူက ကလပ်ရဲ့ အဖွဲ့ဝင်တစ်ယောက်ပါ။,/ˈmɛmbə/,https://api.dictionaryapi.dev/media/pronunciations/en/member-1-au.mp3,people
,word,bad,ဆိုး၊ မကောင်း,The weather is bad today.,ဒီနေ့ ရာသီဥတု ဆိုးတယ်။,/bæːd/,https://api.dictionaryapi.dev/media/pronunciations/en/bad-uk.mp3,everyday
,word,city,မြို့,Yangon is a busy city.,ရန်ကုန်က အလုပ်များတဲ့ မြို့တစ်မြို့ပါ။,/sɪtɪ/,https://api.dictionaryapi.dev/media/pronunciations/en/city-au.mp3,travel
,word,night,ည,I couldn't sleep last night.,မနေ့ည ကျွန်တော် အိပ်မပျော်ခဲ့ဘူး။,/naɪt/,https://api.dictionaryapi.dev/media/pronunciations/en/night-uk.mp3,everyday
,word,able,စွမ်းဆောင်နိုင်၊ တတ်နိုင်,She was able to finish the race.,သူ ပြေးပွဲကို ပြီးအောင် ပြေးနိုင်ခဲ့တယ်။,/ˈeɪ.bl̩/,https://api.dictionaryapi.dev/media/pronunciations/en/able-us.mp3,everyday
,word,support,ထောက်ခံ၊ ပံ့ပိုး,Thank you for your support.,ကူညီထောက်ပံ့ပေးတဲ့အတွက် ကျေးဇူးတင်ပါတယ်။,/səˈpɔːt/,https://api.dictionaryapi.dev/media/pronunciations/en/support-us.mp3,everyday
,word,line,မျဉ်း၊ လိုင်း,Please wait in line.,အတန်းလိုက် စောင့်ပေးပါ။,/laɪn/,https://api.dictionaryapi.dev/media/pronunciations/en/line-au.mp3,everyday
,word,present,လက်ဆောင်၊ တင်ပြ,I have a present for you.,ခင်ဗျားအတွက် လက်ဆောင်တစ်ခု ရှိတယ်။,/pɹəˈzɛnt/,https://api.dictionaryapi.dev/media/pronunciations/en/present-us-adjective-noun.mp3,everyday
,word,side,ဘေး၊ အခြမ်း,He sat by my side.,သူ ကျွန်တော့်ဘေးမှာ ထိုင်ခဲ့တယ်။,/saɪd/,https://api.dictionaryapi.dev/media/pronunciations/en/side-au.mp3,everyday
